Order Number,Customer Name,Customer Id,Province,CITY,Zip Code,Product Type,Gateway,Net Sales,Sum of Total Tax,Sum of Total Price Usd
567,Esther Kinder,1,California,LONG BEACH,420,Climbing Shoes,shopify_payments,$517,51.713,568.843
6438,Welsh Goodlet,1,Pennsylvania,PITTSBURGH,441,Tennis Shoes,shopify_payments,$518,51.753,569.283
2103,Obed Aleksankin,1,Kentucky,LOUISVILLE,443,Walking Shoes,paypal,$588,58.793,646.723
5575,Sonia MacKnocker,1,Delaware,NEWARK,451,Walking Shoes,amazon_payments,$595,59.513,654.643
6963,Joellen Twidle,1,North Carolina,WILMINGTON,463,Tennis Shoes,shopify_payments,$625,62.513,687.643
233,Quinta Wisson,1,Tennessee,CHATTANOOGA,475,Climbing Shoes,amazon_payments,$585,58.513,643.643
3286,Effie Ruffler,1,Pennsylvania,PHILADELPHIA,478,Running Shoes,shopify_payments,$537,53.713,590.843
6483,Ibbie Skermer,1,Nevada,LAS VEGAS,512,Walking Shoes,shopify_payments,$594,59.433,653.763
3344,Ursula Heifer,1,Minnesota,MINNEAPOLIS,516,Walking Shoes,amazon_payments,$532,53.193,585.123
6500,Elihu Redwing,1,Oregon,SALEM,516,Water Shoes,shopify_payments,$497,49.713,546.843
883,Kaye Capozzi,1,Louisiana,BATON ROUGE,540,Flip-Flops,gift_card,$510,50.953,560.483
3146,Seward Danilovitch,1,California,TORRANCE,557,Running Shoes,gift_card,$510,50.953,560.483
7231,Godard Barbrick,1,Florida,MIAMI,579,Tennis Shoes,paypal,$510,50.953,560.483
3405,Joseito Micheli,1,Nebraska,OMAHA,584,Sandals,paypal,$751,75.113,826.243
5449,Abbot Egalton,1,Pennsylvania,WILKES BARRE,590,Cycling Shoes,shopify_payments,$571,57.113,628.243
3587,Farlee Esherwood,1,Indiana,INDIANAPOLIS,594,Walking Shoes,shopify_payments,$548,54.793,602.723
2077,Kathlin Trayte,1,Texas,DALLAS,598,Cycling Shoes,amazon_payments,$470,47.033,517.363
1666,Beverley Janney,1,Texas,AUSTIN,602,Running Shoes,shopify_payments,$575,57.513,632.643
456,Rochette Kment,1,District of Columbia,WASHINGTON,604,Running Shoes,shopify_payments,$572,57.193,629.123
406,Carlye McCurry,1,New Mexico,SANTA FE,626,Tennis Shoes,manual,$497,49.713,546.843
3023,Dania Skuce,1,Virginia,STERLING,632,Tennis Shoes,shopify_payments,$497,49.713,546.843
5263,Winna Puckey,1,Oklahoma,OKLAHOMA CITY,641,Cycling Shoes,shopify_payments,$596,59.593,655.523
5526,Milli Vallow,1,South Dakota,SIOUX FALLS,644,Running Shoes,gift_card,$518,51.753,569.283
3131,Lilias Harbor,1,Arkansas,LITTLE ROCK,646,Tennis Shoes,paypal,$537,53.713,590.843
4757,Eduino Durnan,1,Kentucky,LOUISVILLE,654,Running Shoes,gift_card,$510,50.953,560.483
558,Yard Ness,1,Maryland,BALTIMORE,681,Running Shoes,gift_card,$591,59.103,650.133
5941,Janine Kruszelnicki,1,Ohio,LIMA,688,Cycling Shoes,shopify_payments,$580,57.993,637.923
1543,Hillery Lillywhite,1,Indiana,INDIANAPOLIS,689,Walking Shoes,shopify_payments,$510,50.953,560.483
903,Holly Domesday,1,Florida,PENSACOLA,706,Running Shoes,shopify_payments,$537,53.713,590.843
887,Fayette Leechman,1,Florida,MIAMI,717,Running Shoes,shopify_payments,$537,53.713,590.843
3661,Conant Hares,1,California,ANAHEIM,727,Running Shoes,shopify_payments,$517,51.713,568.843
2054,Natka Heaford,1,Colorado,COLORADO SPRINGS,731,Cycling Shoes,shopify_payments,$502,50.153,551.683
1504,Agustin Jerzak,1,Indiana,FORT WAYNE,738,Climbing Shoes,amazon_payments,$497,49.713,546.843
4192,Tildy Racher,1,Massachusetts,BOSTON,767,Running Shoes,shopify_payments,$665,66.513,731.643
7302,Ganny Mabbutt,1,Florida,CLEARWATER,770,Tennis Shoes,paypal,$497,49.713,546.843
3218,Linet Dawidsohn,1,Florida,TAMPA,777,Walking Shoes,shopify_payments,$595,59.513,654.643
2845,Georgy Pogson,1,Texas,AUSTIN,792,Running Shoes,shopify_payments,$518,51.753,569.283
6635,Marina MacGee,1,California,GARDEN GROVE,792,Walking Shoes,shopify_payments,$595,59.513,654.643
1238,Tim Meltetal,1,New York,BROOKLYN,814,Jackets,shopify_payments,$678,67.753,745.283
3236,Haven Skough,1,Texas,AUSTIN,831,Running Shoes,shopify_payments,$537,53.713,590.843
3944,Lian Bettis,1,California,LOS ANGELES,866,Running Shoes,gift_card,$517,51.713,568.843
1210,Sanderson Dennistoun,1,California,ANAHEIM,906,Running Shoes,gift_card,$537,53.713,590.843
1254,Bamby Wiltshaw,1,New York,BROOKLYN,917,Cycling Shoes,gift_card,$518,51.753,569.283
4704,Patrizius Hymer,1,Wisconsin,MADISON,951,Walking Shoes,paypal,$683,68.313,751.443
7052,Georgianna Tiller,1,California,SAN DIEGO,953,Tennis Shoes,shopify_payments,$497,49.713,546.843
1303,Alfons Thripp,1,Iowa,CEDAR RAPIDS,963,Running Shoes,shopify_payments,$510,50.953,560.483
4020,Fredek Rappa,1,Washington,OLYMPIA,971,Cycling Shoes,shopify_payments,$497,49.713,546.843
4717,Marten Loraine,1,Indiana,GARY,982,Running Shoes,amazon_payments,$580,57.993,637.923
1099,Pegeen Petegre,1,Nevada,LAS VEGAS,1004,Running Shoes,gift_card,$572,57.193,629.123
1325,Vick Dufaur,1,Florida,SARASOTA,1024,Sandals,shopify_payments,$463,46.273,509.003
6672,Iorgos Hayden,1,Florida,PORT CHARLOTTE,1044,Climbing Shoes,shopify_payments,$518,51.753,569.283
5943,Lincoln Beneyto,1,New York,NEW YORK CITY,1050,Running Shoes,paypal,$518,51.753,569.283
3716,Martina Capelle,1,District of Columbia,WASHINGTON,1070,Climbing Shoes,shopify_payments,$537,53.713,590.843
1147,Dore Lougheed,1,Minnesota,MINNEAPOLIS,1098,Tennis Shoes,shopify_payments,$555,55.513,610.643
4688,Carmina Gallico,1,California,SIMI VALLEY,1134,Running Shoes,paypal,$596,59.593,655.523
2413,Adrianna Coviello,1,California,CHULA VISTA,1177,Running Shoes,gift_card,$564,56.363,619.993
6073,Felicle Muxworthy,1,Connecticut,HARTFORD,1177,Tennis Shoes,shopify_payments,$518,51.753,569.283
5304,Edie Dahlback,1,Minnesota,SAINT PAUL,1191,Running Shoes,shopify_payments,$615,61.513,676.643
5685,Fraze Canceller,1,New York,SYRACUSE,1211,Running Shoes,shopify_payments,$497,49.713,546.843
1177,Dell Coyle,1,North Carolina,CHARLOTTE,1227,Running Shoes,gift_card,$596,59.593,655.523
3122,Phip Jude,1,California,FRESNO,1245,Cycling Shoes,shopify_payments,$498,49.813,547.943
1140,Astrix Newcomen,1,Alabama,HUNTSVILLE,1254,Walking Shoes,amazon_payments,$548,54.793,602.723
3257,Gusta McIlenna,1,Nevada,NORTH LAS VEGAS,1276,Tennis Shoes,manual,$527,52.713,579.843
521,Lucretia Frenchum,1,South Carolina,COLUMBIA,1280,Tennis Shoes,paypal,$458,45.813,503.943
4834,Kimmy Gerritsma,1,Arizona,PHOENIX,1287,Running Shoes,shopify_payments,$801,80.073,880.803
5779,Gratia Aleshintsev,1,Illinois,CHICAGO,1295,Walking Shoes,paypal,$595,59.513,654.643
4435,Juliette Tongue,1,Colorado,LITTLETON,1312,Running Shoes,gift_card,$513,51.263,563.893
874,Cristionna Passy,1,Pennsylvania,LEVITTOWN,1315,Tennis Shoes,paypal,$518,51.753,569.283
6528,Eadie McGraith,1,Washington,YAKIMA,1338,Running Shoes,paypal,$510,50.953,560.483
6290,Abelard Leeburne,1,Texas,WACO,1344,Running Shoes,gift_card,$510,50.953,560.483
1453,Davide Whyberd,1,Massachusetts,SPRINGFIELD,1345,Cycling Shoes,shopify_payments,$585,58.513,643.643
3443,Leone Gaymar,1,District of Columbia,WASHINGTON,1367,Walking Shoes,gift_card,$494,49.353,542.883
4952,Raymond Wimp,1,Virginia,NORFOLK,1432,Running Shoes,shopify_payments,$518,51.753,569.283
3524,Augustine Errichelli,1,Indiana,GARY,1443,Tennis Shoes,shopify_payments,$510,50.953,560.483
1929,Rem Rubrow,1,Florida,HOLLYWOOD,1448,Climbing Shoes,shopify_payments,$527,52.713,579.843
6992,Ikey Kilroy,1,Florida,PENSACOLA,1472,Running Shoes,paypal,$537,53.713,590.843
7149,Stephanus Burndred,1,Washington,TACOMA,1488,Cycling Shoes,gift_card,$486,48.553,534.083
7252,Stormy Aleksidze,1,Georgia,ATLANTA,1500,Running Shoes,shopify_payments,$596,59.593,655.523
1944,Christiane MacCulloch,1,California,LOS ANGELES,1517,Running Shoes,paypal,$537,53.713,590.843
6722,Darice Greenleaf,1,California,SAN JOSE,1521,Climbing Shoes,paypal,$745,74.473,819.203
2078,Flossie Edney,1,Alabama,MOBILE,1531,Running Shoes,shopify_payments,$497,49.713,546.843
4425,Wynn Lawdham,1,Massachusetts,BOSTON,1534,Running Shoes,shopify_payments,$537,53.713,590.843
5816,Otis Haddleton,1,Washington,YAKIMA,1545,Running Shoes,shopify_payments,$518,51.753,569.283
6001,Torey Giraudot,1,Virginia,ROANOKE,1559,Walking Shoes,shopify_payments,$613,61.313,674.443
3087,Ravi Bolstridge,1,North Carolina,CHARLOTTE,1566,Walking Shoes,gift_card,$497,49.713,546.843
4330,Ruddie Amesbury,1,California,BERKELEY,1573,Running Shoes,paypal,$580,57.993,637.923
3941,Laure Haugeh,1,Colorado,PUEBLO,1617,Running Shoes,paypal,$497,49.713,546.843
6016,Win Wennington,1,Washington,EVERETT,1617,Climbing Shoes,paypal,$470,47.033,517.363
5636,Winonah Brotherhed,1,South Carolina,SPARTANBURG,1626,Running Shoes,shopify_payments,$703,70.313,773.443
928,Granthem Wrought,1,Virginia,ROANOKE,1637,Running Shoes,gift_card,$490,49.013,539.143
2134,Brianne Ruilton,1,Wisconsin,MILWAUKEE,1646,Running Shoes,amazon_payments,$518,51.753,569.283
3129,Lucia Garvin,1,Louisiana,NEW ORLEANS,1664,Climbing Shoes,shopify_payments,$635,63.513,698.643
2381,Shana Wones,1,District of Columbia,WASHINGTON,1670,Running Shoes,gift_card,$517,51.713,568.843
5216,Clemente Turneux,1,New York,SCHENECTADY,1673,Walking Shoes,shopify_payments,$555,55.513,610.643
5198,Brock Titmarsh,1,Alabama,BIRMINGHAM,1695,Walking Shoes,amazon_payments,$595,59.513,654.643
4846,Ram Haberfield,1,Texas,EL PASO,1702,Running Shoes,gift_card,$564,56.393,620.323
1783,Pepi Gasticke,1,New Jersey,TRENTON,1732,Running Shoes,gift_card,$635,63.513,698.643
7257,Bertha Cordeiro,1,New York,JAMAICA,1740,Cycling Shoes,shopify_payments,$537,53.713,590.843
1062,Griffith Brouard,1,Florida,JACKSONVILLE,1743,Running Shoes,shopify_payments,$537,53.713,590.843
3384,Robinia Mousby,1,Nevada,LAS VEGAS,1743,Tennis Shoes,gift_card,$510,50.953,560.483
6139,Dotty Galton,1,Missouri,SPRINGFIELD,1759,Tennis Shoes,paypal,$537,53.713,590.843
4011,Bard Artindale,1,New Mexico,LAS CRUCES,1762,Running Shoes,gift_card,$518,51.753,569.283
12,Arliene Pescott,1,North Carolina,CHARLOTTE,1786,Climbing Shoes,amazon_payments,$578,57.833,636.163
7310,Winn Pierson,1,Ohio,CANTON,1794,Tennis Shoes,gift_card,$505,50.513,555.643
4876,Lem Haughan,1,California,SAN DIEGO,1799,Sandals,paypal,$595,59.513,654.643
2961,Harlan Shoulders,1,Florida,ZEPHYRHILLS,1800,Tennis Shoes,gift_card,$513,51.263,563.893
1702,Wit Pudney,1,Texas,SAN ANTONIO,1812,Tennis Shoes,gift_card,$518,51.753,569.283
4500,Susan Binns,1,Florida,MIAMI,1821,Running Shoes,gift_card,$488,48.813,536.943
5002,Even Hayzer,1,Indiana,SOUTH BEND,1832,Running Shoes,shopify_payments,$537,53.713,590.843
4409,Brucie Bachura,1,Texas,EL PASO,1834,Running Shoes,shopify_payments,$510,50.953,560.483
7005,Ina Batsford,1,District of Columbia,WASHINGTON,1835,Running Shoes,amazon_payments,$564,56.393,620.323
6178,Erasmus Danelutti,1,Colorado,GRAND JUNCTION,1853,Running Shoes,shopify_payments,$513,51.263,563.893
1273,Candida Biesinger,1,Michigan,DETROIT,1891,Walking Shoes,paypal,$497,49.713,546.843
2604,Fee Holberry,1,Texas,HOUSTON,1912,Tennis Shoes,shopify_payments,$486,48.553,534.083
720,Hortensia Macey,1,Texas,HOUSTON,1922,Tennis Shoes,shopify_payments,$705,70.473,775.203
5802,Frankie Vala,1,Florida,BONITA SPRINGS,1933,Cycling Shoes,shopify_payments,$510,50.953,560.483
881,Renaldo Redford,1,Iowa,DES MOINES,1941,Running Shoes,shopify_payments,$510,50.953,560.483
6496,Merilyn Ackers,1,Colorado,BOULDER,1998,Tennis Shoes,paypal,$518,51.753,569.283
498,Graehme Shanley,1,California,CARLSBAD,2005,Walking Shoes,shopify_payments,$613,61.313,674.443
237,Catherin Parcall,1,Ohio,COLUMBUS,2006,Running Shoes,gift_card,$537,53.713,590.843
4577,Hartwell Messiter,1,District of Columbia,WASHINGTON,2016,Tennis Shoes,manual,$1017,101.713,1118.843
484,Alene Steckings,1,New York,ROCHESTER,2031,Tennis Shoes,manual,$527,52.713,579.843
2333,Sylvan Pauli,1,Florida,OCALA,2031,Walking Shoes,shopify_payments,$555,55.513,610.643
1841,Josi MacCaghan,1,Texas,DALLAS,2044,Walking Shoes,amazon_payments,$497,49.713,546.843
1403,Kendrick Coggins,1,California,OCEANSIDE,2047,Running Shoes,shopify_payments,$556,55.593,611.523
5849,Carlynn Arnott,1,Kansas,TOPEKA,2053,Climbing Shoes,paypal,$503,50.313,553.443
7357,Loydie Tackett,1,Texas,CORPUS CHRISTI,2057,Walking Shoes,shopify_payments,$673,67.313,740.443
4497,Erika Knifton,1,Nevada,LAS VEGAS,2058,Walking Shoes,shopify_payments,$987,98.713,1085.843
3540,Ardella Plaunch,1,Virginia,SPRINGFIELD,2060,Tennis Shoes,paypal,$537,53.713,590.843
362,Daron Ollenbuttel,1,North Carolina,ASHEVILLE,2061,Running Shoes,shopify_payments,$497,49.713,546.843
5043,Joelly Greeson,1,Louisiana,NEW ORLEANS,2089,Cycling Shoes,paypal,$831,83.113,914.243
3808,Maximilian Burland,1,New York,NEW YORK CITY,2126,Boots,manual,$615,61.513,676.643
1496,Hughie Fairhead,1,Florida,SARASOTA,2135,Running Shoes,paypal,$635,63.513,698.643
3106,Reinhold Colbridge,1,Virginia,NORFOLK,2146,Running Shoes,shopify_payments,$745,74.473,819.203
2118,Fredia Petera,1,Connecticut,BRIDGEPORT,2162,Cycling Shoes,shopify_payments,$497,49.713,546.843
4962,Maisey Bellenie,1,Illinois,PEORIA,2181,Running Shoes,shopify_payments,$615,61.513,676.643
4381,Charlotta Labbett,1,Maryland,FREDERICK,2225,Running Shoes,gift_card,$494,49.373,543.103
6407,Mercy Easlea,1,New Mexico,SANTA FE,2228,Running Shoes,paypal,$674,67.433,741.763
2742,Amberly Croyden,1,Florida,WEST PALM BEACH,2232,Climbing Shoes,shopify_payments,$527,52.713,579.843
1362,Curcio Lashbrook,1,New Mexico,ALBUQUERQUE,2235,Gift Card,shopify_payments,$489,48.913,538.043
1975,Chrystel Silvester,1,Texas,EL PASO,2237,Climbing Shoes,shopify_payments,$596,59.593,655.523
1865,Kakalina Jockle,1,Massachusetts,WATERTOWN,2257,Boots,shopify_payments,$635,63.513,698.643
4046,Janelle Carradice,1,Alabama,MONTGOMERY,2259,Cycling Shoes,shopify_payments,$555,55.513,610.643
4823,Lucie de Tocqueville,1,Maryland,FREDERICK,2265,Running Shoes,gift_card,$564,56.393,620.323
3158,Jyoti Scarff,1,Arizona,TUCSON,2271,Walking Shoes,shopify_payments,$532,53.193,585.123
3210,Holt Osbaldstone,1,Montana,BILLINGS,2271,Walking Shoes,shopify_payments,$625,62.513,687.643
1299,Nissy Heining,1,South Carolina,GREENVILLE,2285,Cycling Shoes,shopify_payments,$556,55.613,611.743
3675,Ann-marie Frosch,1,Nebraska,OMAHA,2285,Clogs,gift_card,$487,48.713,535.843
5382,Vina Lavens,1,Oregon,PORTLAND,2292,Tennis Shoes,manual,$537,53.713,590.843
5099,Camala McAneny,1,Minnesota,YOUNG AMERICA,2300,Tennis Shoes,paypal,$642,64.233,706.563
2297,Wolfie Dorrins,1,Florida,JACKSONVILLE,2313,Running Shoes,shopify_payments,$527,52.713,579.843
1363,Margot Dietzler,1,Washington,VANCOUVER,2327,Cycling Shoes,shopify_payments,$556,55.613,611.743
1164,Ashlee Coite,1,Indiana,INDIANAPOLIS,2329,Running Shoes,gift_card,$478,47.833,526.163
314,North Piddle,1,Massachusetts,WORCESTER,2348,Cycling Shoes,shopify_payments,$696,69.563,765.193
6406,Simon Laver,1,Texas,DALLAS,2358,Sandals,shopify_payments,$517,51.713,568.843
3217,Herold Tippler,1,Iowa,DES MOINES,2376,Cycling Shoes,shopify_payments,$537,53.713,590.843
6351,Gertrud Boydon,1,Maryland,BALTIMORE,2396,Tennis Shoes,paypal,$596,59.593,655.523
2249,Ellary Laudham,1,New York,JAMAICA,2397,Running Shoes,shopify_payments,$761,76.113,837.243
2464,Mariellen Prickett,1,Ohio,TOLEDO,2406,Tennis Shoes,shopify_payments,$447,44.657,491.227
5058,Wally Whitney,1,Florida,TAMPA,2435,Tennis Shoes,gift_card,$537,53.713,590.843
5880,Dilly Tredgold,1,Georgia,ATLANTA,2436,Running Shoes,amazon_payments,$486,48.553,534.083
6796,Hal Menis,1,Florida,NAPLES,2468,Flip-Flops,shopify_payments,$547,54.713,601.843
974,Otes Lerven,1,Missouri,LEES SUMMIT,2472,Cycling Shoes,shopify_payments,$497,49.713,546.843
354,Rivy Pietersma,1,Ohio,AKRON,2482,Walking Shoes,gift_card,$494,49.373,543.103
1418,Kathryne Stranieri,1,Georgia,ATLANTA,2498,Running Shoes,paypal,$518,51.753,569.283
443,Demetra Pleven,1,Texas,EL PASO,2511,Running Shoes,shopify_payments,$537,53.713,590.843
2945,Marcellus Dimitresco,1,Florida,TALLAHASSEE,2515,Cycling Shoes,shopify_payments,$549,54.863,603.493
4624,Sarita Rosenshine,1,Illinois,CHICAGO,2535,Walking Shoes,shopify_payments,$497,49.713,546.843
7154,Charlot Huller,1,Tennessee,MEMPHIS,2542,Running Shoes,shopify_payments,$510,50.953,560.483
6442,Rikki Perkis,1,Arizona,PHOENIX,2572,Cycling Shoes,shopify_payments,$555,55.513,610.643
195,Loretta Meriot,1,Texas,AUSTIN,2577,Walking Shoes,shopify_payments,$635,63.513,698.643
5967,Chadwick Phripp,1,Texas,CORPUS CHRISTI,2603,Running Shoes,gift_card,$510,50.953,560.483
954,Wendeline Helm,1,Pennsylvania,PHILADELPHIA,2623,Tennis Shoes,gift_card,$498,49.763,547.393
3642,Phillip Kamena,1,New Jersey,CAMDEN,2637,Boots,shopify_payments,$615,61.513,676.643
6297,Randee Wrey,1,Texas,HOUSTON,2665,Walking Shoes,paypal,$597,59.713,656.843
2479,Joya Halmkin,1,Oklahoma,OKLAHOMA CITY,2670,Running Shoes,shopify_payments,$693,69.313,762.443
399,Ortensia Hilary,1,Kentucky,LEXINGTON,2676,Tennis Shoes,shopify_payments,$517,51.713,568.843
3403,Prinz Morrad,1,Arizona,PHOENIX,2706,Running Shoes,paypal,$643,64.313,707.443
7230,Brockie Simonassi,1,Michigan,DETROIT,2707,Cycling Shoes,gift_card,$527,52.713,579.843
3026,Nat Levington,1,District of Columbia,WASHINGTON,2713,Tennis Shoes,shopify_payments,$507,50.713,557.843
3444,Den Wardhaugh,1,Washington,TACOMA,2739,Running Shoes,gift_card,$513,51.263,563.893
5856,Ruby Pierro,1,Florida,SARASOTA,2752,Tennis Shoes,shopify_payments,$580,57.993,637.923
2580,Cecilio Wetherhead,1,California,SALINAS,2754,Running Shoes,gift_card,$498,49.763,547.393
393,Augusto Pitcock,1,Alabama,MOBILE,2764,Climbing Shoes,shopify_payments,$527,52.713,579.843
6858,Eudora Shakeshaft,1,District of Columbia,WASHINGTON,2770,Walking Shoes,amazon_payments,$497,49.713,546.843
3408,Lindie Featherstonehaugh,1,Nevada,RENO,2776,Running Shoes,shopify_payments,$527,52.713,579.843
4968,Ermina Bretherick,1,Ohio,DAYTON,2784,Tennis Shoes,shopify_payments,$564,56.393,620.323
4953,Diannne Cuardall,1,Iowa,DES MOINES,2790,Cycling Shoes,shopify_payments,$572,57.193,629.123
2649,Jamima Grcic,1,California,SACRAMENTO,2791,Walking Shoes,paypal,$488,48.813,536.943
4127,Levin Gonzalvo,1,Alabama,BIRMINGHAM,2800,Tennis Shoes,shopify_payments,$666,66.633,732.963
4308,Wallis Vuittet,1,South Carolina,CHARLESTON,2803,Running Shoes,amazon_payments,$527,52.713,579.843
1018,Kaela Dominik,1,Florida,CLEARWATER,2820,Tennis Shoes,paypal,$555,55.513,610.643
934,Christean Rabl,1,California,FRESNO,2827,Running Shoes,paypal,$615,61.513,676.643
3620,Harley Gunbie,1,Georgia,LAWRENCEVILLE,2832,Tennis Shoes,shopify_payments,$733,73.313,806.443
6291,Dell Dreossi,1,Texas,AUSTIN,2842,Tennis Shoes,gift_card,$596,59.593,655.523
2654,Trent Cusack,1,Indiana,GARY,2850,Tennis Shoes,shopify_payments,$510,50.953,560.483
841,Emyle Giercke,1,Ohio,DAYTON,2852,Tennis Shoes,shopify_payments,$625,62.513,687.643
6186,Sayres D'Onisi,1,Florida,FORT LAUDERDALE,2861,Gift Card,paypal,$489,48.913,538.043
1662,Lyndell Latty,1,Georgia,MACON,2872,Cycling Shoes,shopify_payments,$674,67.433,741.763
1563,Cy Dunsmuir,1,New York,FLUSHING,2907,Running Shoes,gift_card,$507,50.713,557.843
526,Bobbie Snare,1,Georgia,ALBANY,2923,Cycling Shoes,amazon_payments,$498,49.813,547.943
2597,Jacklin Phil,1,Kansas,TOPEKA,2923,Running Shoes,shopify_payments,$635,63.513,698.643
1591,Alexis Dowdeswell,1,Massachusetts,BROCKTON,2927,Cycling Shoes,shopify_payments,$537,53.713,590.843
4466,Brod Trevithick,1,Texas,SAN ANTONIO,2944,Jackets,shopify_payments,$684,68.393,752.323
5596,Pooh Izzat,1,New Jersey,TRENTON,2948,Running Shoes,shopify_payments,$556,55.613,611.743
6542,Ed O'Mullaney,1,Virginia,RICHMOND,2957,Sandals,paypal,$713,71.313,784.443
2331,Georgine McKinty,1,Massachusetts,NEWTON,2959,Climbing Shoes,amazon_payments,$486,48.553,534.083
5468,Abey O'Kennedy,1,Texas,ABILENE,2987,Gift Card,paypal,$514,51.413,565.543
556,Bronson Sandercroft,1,Alabama,MONTGOMERY,2989,Running Shoes,shopify_payments,$580,57.993,637.923
1236,Stacy Blackstone,1,Colorado,DENVER,3010,Running Shoes,shopify_payments,$580,57.993,637.923
5264,Calv Bawden,1,Missouri,SPRINGFIELD,3025,Running Shoes,shopify_payments,$588,58.793,646.723
2959,Theobald Jirousek,1,Florida,MIAMI,3039,Walking Shoes,shopify_payments,$948,94.793,1042.723
1568,Tyne Gerriessen,1,Virginia,VIRGINIA BEACH,3048,Running Shoes,paypal,$703,70.313,773.443
2983,Price Follett,1,South Carolina,FLORENCE,3050,Tennis Shoes,shopify_payments,$596,59.593,655.523
4143,Jim Tutchell,1,Virginia,RICHMOND,3052,Tennis Shoes,shopify_payments,$633,63.313,696.443
